prizeLabel,personLabel,sexlabel
Premio Strega,Ernesto Ferrero,masculino
Premio Camões,Pepetela,masculino
Gran Premio de Novela de la Academia Francesa,Philippe Beaussant,masculino
Gran Premio de Novela de la Academia Francesa,Laurent Binet,masculino
Gran Premio de Novela de la Academia Francesa,Jean d'Ormesson,masculino
Gran Premio de Novela de la Academia Francesa,Joseph Kessel,masculino
Premio Nobel de Literatura,T. S. Eliot,masculino
Premio Camões,Manuel António Pina,masculino
Premio Camões,José Luandino Vieira,masculino
Premio Camões,Eugénio de Andrade,masculino
Premio Camões,José Craveirinha,masculino
Premio Nobel de Literatura,Henrik Pontoppidan,masculino
Premio O. Henry,Kay Boyle,femenino
Premio Camões,Vergílio Ferreira,masculino
Premio Camões,Eduardo Lourenço,masculino
Premio de la Paz del Comercio Librero Alemán,Saul Friedländer,masculino
Gran Premio de Novela de la Academia Francesa,Jean de La Varende,masculino
Gran Premio de Novela de la Academia Francesa,Francis Ponge,masculino
Premio Nobel de Literatura,Herta Müller,femenino
Premio Nadal,Alicia Giménez Bartlett,femenino
Premio O. Henry,Harold Brodkey,masculino
Premio O. Henry,Albert Maltz,masculino
Premio Nobel de Literatura,Vicente Aleixandre,masculino
Premio Nobel de Literatura,Odysséas Elýtis,masculino
Premio Nobel de Literatura,William Butler Yeats,masculino
Premio Nobel de Literatura,Jean-Marie Gustave Le Clézio,masculino
Premio Biblioteca Breve,Juan Marsé,masculino
Premio Nobel de Literatura,Borís Pasternak,masculino
Premio de la Paz del Comercio Librero Alemán,Victor Gollancz,masculino
Premio de la Paz del Comercio Librero Alemán,Willem Visser 't Hooft,masculino
Premio Camões,Germano Almeida,masculino
Gran Premio de Novela de la Academia Francesa,Anne Wiazemsky,femenino
Gran Premio de Novela de la Academia Francesa,Jean Raspail,masculino
Gran Premio de Novela de la Academia Francesa,Hédi Kaddour,masculino
Gran Premio de Novela de la Academia Francesa,Alphonse Boudard,masculino
Gran Premio de Novela de la Academia Francesa,Jean Orieux,masculino
Premio Nobel de Literatura,Carl Spitteler,masculino
Premio de Ficción Femenina,Maggie O'Farrell,femenino
Premio de Ficción Femenina,Kamila Shamsie,femenino
Premio de Ficción Femenina,Lola Shoneyin,femenino
Premio Nobel de Literatura,William Faulkner,masculino
Premio Nobel de Literatura,Knut Hamsun,masculino
Premio Strega,Maria Bellonci,femenino
Premio O. Henry,Suketu Mehta,masculino
Premio Strega,Raffaele La Capria,masculino
Premio Strega,Carlo Sgorlon,masculino
Premio de la Paz del Comercio Librero Alemán,Carolin Emcke,femenino
Gran Premio de Novela de la Academia Francesa,Paule Constant,femenino
Premio O. Henry,Walter Duranty,masculino
Premio O. Henry,W. R. Burnett,masculino
Premio O. Henry,Stephen Vincent Benét,masculino
Premio Nobel de Literatura,John Steinbeck,masculino
Premio Nobel de Literatura,Orhan Pamuk,masculino
Gran Premio de Novela de la Academia Francesa,Patrick Rambaud,masculino
Gran Premio de Novela de la Academia Francesa,Francis Carco,masculino
Gran Premio de Novela de la Academia Francesa,Jacques de Lacretelle,masculino
Gran Premio de Novela de la Academia Francesa,Henri Pourrat,masculino
Gran Premio de Novela de la Academia Francesa,Boualem Sansal,masculino
Premio Nobel de Literatura,Tomas Tranströmer,masculino
Premio Nobel de Literatura,Wole Soyinka,masculino
Premio Strega,Vincenzo Cardarelli,masculino
Premio Nadal,Manuel Mejía Vallejo,masculino
Premio Strega,Alessandro Barbero,masculino
Premio Biblioteca Breve,Juan Manuel de Prada,masculino
Gran Premio de Novela de la Academia Francesa,Henri Queffélec,masculino
Gran Premio de Novela de la Academia Francesa,Frédéric Vitoux,masculino
Premio Strega,Stanislao Nievo,masculino
Premio Strega,Goffredo Parise,masculino
Premio Camões,António Cândido,masculino
Premio O. Henry,Gordon Lish,masculino
Premio O. Henry,Elizabeth McCracken,femenino
Premio O. Henry,Elizabeth Stuckey-French,femenino
Premio O. Henry,Daniyal Mueenuddin,masculino
Premio O. Henry,Eddie Chuculate,masculino
Premio O. Henry,Edison Marshall,masculino
Premio Strega,Guido Piovene,masculino
Premio Nobel de Literatura,Abdulrazak Gurnah,masculino
Premio Strega,Anna Maria Ortese,femenino
Premio O. Henry,Renata Adler,femenino
Premio Camões,Manuel Alegre,masculino
Premio Strega,Massimo Bontempelli,masculino
Premio de la Paz del Comercio Librero Alemán,Boualem Sansal,masculino
Premio Nobel de Literatura,Mario Vargas Llosa,masculino
Premio de Ficción Femenina,Kate Grenville,femenino
Premio Nobel de Literatura,Olga Tokarczuk,femenino
Gran Premio de Novela de la Academia Francesa,Pierre Moinot,masculino
Premio Nobel de Literatura,Doris Lessing,femenino
Gran Premio de Novela de la Academia Francesa,Pierre Schoendoerffer,masculino
Premio O. Henry,Alison Baker,femenino
Premio O. Henry,Anjana Appachana,femenino
Premio O. Henry,Anne Leaton,femenino
Premio O. Henry,Cornelia Nixon,femenino
Premio Nobel de Literatura,Gerhart Hauptmann,masculino
Premio Nobel de Literatura,Harold Pinter,masculino
Premio O. Henry,Alexi Zentner,masculino
Premio O. Henry,Amit Majmudar,masculino
Premio O. Henry,Elizabeth Tallent,femenino
Premio O. Henry,Ella Leffland,femenino
Premio O. Henry,Inez Haynes Irwin,femenino
Premio de Ficción Femenina,Tayari Jones,femenino
Premio Camões,Autran Dourado,masculino
Premio Camões,João Ubaldo Ribeiro,masculino
Premio Camões,João Cabral de Melo Neto,masculino
Premio Strega,Giuseppe Pontiggia,masculino
Premio O. Henry,Kevin Brockmeier,masculino
Premio O. Henry,Walter Van Tilburg Clark,masculino
Premio O. Henry,Frederic Tuten,masculino
Gran Premio de Novela de la Academia Francesa,Guy de Pourtalès,masculino
Premio Biblioteca Breve,Luis Goytisolo,masculino
Gran Premio de Novela de la Academia Francesa,Eric Faye,masculino
Gran Premio de Novela de la Academia Francesa,Vladimir Volkoff,masculino
Premio O. Henry,Gordon Weaver,masculino
Premio O. Henry,Harris Downey,masculino
Gran Premio de Novela de la Academia Francesa,Adélaïde de Clermont-Tonnerre,femenino
Gran Premio de Novela de la Academia Francesa,André Corthis,femenino
Premio Nobel de Literatura,Mijaíl Shólojov,masculino
Gran Premio de Novela de la Academia Francesa,André Demaison,masculino
Gran Premio de Novela de la Academia Francesa,Bernard Barbey,masculino
Gran Premio de Novela de la Academia Francesa,Bernard du Boucheron,masculino
Gran Premio de Novela de la Academia Francesa,Camille Bourniquel,masculino
Premio Nobel de Literatura,Selma Lagerlöf,femenino
Premio Nacional del Libro de Ficción,Colum McCann,masculino
Premio Nacional del Libro de Ficción,Charles Frazier,masculino
Premio Nobel de Literatura,Louise Glück,femenino
Gran Premio de Novela de la Academia Francesa,Franz-Olivier Giesbert,masculino
Gran Premio de Novela de la Academia Francesa,François Nourissier,masculino
Premio Loewe,Óscar Hahn,masculino
Premio Herralde,Roberto Bolaño,masculino
Gran Premio de Novela de la Academia Francesa,Kléber Haedens,masculino
Gran Premio de Novela de la Academia Francesa,Albert Touchard,masculino
Premio Nobel de Literatura,Kazuo Ishiguro,masculino
Gran Premio de Novela de la Academia Francesa,Alain Bosquet,masculino
Gran Premio de Novela de la Academia Francesa,Philippe Hériat,masculino
Premio Nobel de Literatura,Heinrich Böll,masculino
Premio Strega,Enzo Siciliano,masculino
Premio Strega,Mario Tobino,masculino
Premio Herralde,Martín Caparrós,masculino
Premio Loewe,Luis García Montero,masculino
Premio Nobel de Literatura,Anatole France,masculino
Premio Strega,Pietro Citati,masculino
Premio Strega,Raffaele Brignetti,masculino
Premio Strega,Helena Janeczek,femenino
Premio Ojo Crítico,Juan Manuel de Prada,masculino
Premio Herralde,Juan Villoro,masculino
Premio Herralde,Juan Pablo Villalobos,masculino
Premio Nobel de Literatura,Wisława Szymborska.,femenino
Gran Premio de Novela de la Academia Francesa,Patrick Besson,masculino
Premio Biblioteca Breve,José Manuel Caballero Bonald,masculino
Premio Nobel de Literatura,Frédéric Mistral,masculino
Premio Nobel de Literatura,Henryk Sienkiewicz,masculino
Premio Strega,Vittorio Gorresio,masculino
Premio Strega,Walter Siti,masculino
Premio Adonáis de Poesía,Luis García Montero,masculino
Premio Nobel de Literatura,Peter Handke,masculino
Premio Nacional del Libro de Ficción,William Maxwell,masculino
Premio Adonáis de Poesía,Miguel Ángel Velasco,masculino
Premio Nacional del Libro de Ficción,Robert Stone,masculino
Gran Premio de Novela de la Academia Francesa,Jacques Chardonne,masculino
Gran Premio de Novela de la Academia Francesa,Michel Mohrt,masculino
Gran Premio de Novela de la Academia Francesa,Pierre Michon,masculino
Premio Nacional del Libro de Ficción,Charles R. Johnson,masculino
Premio Nacional del Libro de Ficción,Norman Rush,masculino
Premio Nobel de Literatura,Yasunari Kawabata,masculino
Premio Strega,Mario Pomilio,masculino
Premio Strega,Sebastiano Vassalli,masculino
Premio Strega,Sandro Veronesi,masculino
Premio Nobel de Literatura,Henri Bergson,masculino
Premio Nobel de Literatura,Svetlana Aleksiévich,femenino
Premio Nobel de Literatura,Sully Prudhomme,masculino
Premio Nobel de Literatura,Czesław Miłosz,masculino
Premio Nacional del Libro de Ficción,Shirley Hazzard,femenino
Premio Lazarillo,Joan Manuel Gisbert,masculino
Premio Herralde,Antonio Soler,masculino
Premio Ojo Crítico,Irina Yuryevna Kuberskaya,femenino
